cores,baseN,nref,degree,"solver name",error,dofs,dofs_core,runtime
1,5,2,2,LU,7.535098412798543E-05,68921,68921,6.371022701263428
1,5,2,2,"CG + AMG",7.535120865175023E-05,68921,68921,4.0515477657318115
1,5,2,2,"CG + GMG V-cycle",7.535262291721617E-05,68921,68921,5.411337614059448
1,5,2,2,"CG + full GMG",7.535036097587784E-05,68921,68921,3.2916717529296875
1,5,2,2,"Matfree CG + telescoped full GMG",7.535036097591547E-05,68921,68921,3.347628593444824
2,6,2,2,LU,4.2428763126971135E-05,117649,58824.5,8.295745372772217
2,6,2,2,"CG + AMG",4.242880268983194E-05,117649,58824.5,4.37555193901062
2,6,2,2,"CG + GMG V-cycle",4.2428791747997745E-05,117649,58824.5,5.087666749954224
2,6,2,2,"CG + full GMG",4.243197087846403E-05,117649,58824.5,3.1071054935455322
2,6,2,2,"Matfree CG + telescoped full GMG",4.243197087828711E-05,117649,58824.5,3.1087536811828613
4,8,2,2,LU,1.7378060440988337E-05,274625,68656.25,16.413612127304077
4,8,2,2,"CG + AMG",1.7378227900864516E-05,274625,68656.25,5.298550367355347
4,8,2,2,"CG + GMG V-cycle",1.7378081588196125E-05,274625,68656.25,6.049053907394409
4,8,2,2,"CG + full GMG",1.7378842453467357E-05,274625,68656.25,3.6801364421844482
4,8,2,2,"Matfree CG + telescoped full GMG",1.737884245353842E-05,274625,68656.25,3.6185903549194336
8,10,2,2,LU,8.77332612890062E-06,531441,66430.125,30.22539496421814
8,10,2,2,"CG + AMG",8.773615420519173E-06,531441,66430.125,5.9291253089904785
8,10,2,2,"CG + GMG V-cycle",8.773336351367784E-06,531441,66430.125,6.681936025619507
8,10,2,2,"CG + full GMG",8.773568544873326E-06,531441,66430.125,4.093433141708374
8,10,2,2,"Matfree CG + telescoped full GMG",8.773568545104966E-06,531441,66430.125,4.040450811386108
16,13,2,2,LU,3.954242336599388E-06,1157625,72351.5625,71.98488020896912
16,13,2,2,"CG + AMG",3.95411622451727E-06,1157625,72351.5625,7.125905752182007
16,13,2,2,"CG + GMG V-cycle",3.954287293945186E-06,1157625,72351.5625,9.880033016204834
16,13,2,2,"CG + full GMG",3.953632104541458E-06,1157625,72351.5625,4.825016260147095
16,13,2,2,"Matfree CG + telescoped full GMG",3.9536321044779495E-06,1157625,72351.5625,4.6743080615997314
32,16,2,2,"CG + AMG",2.111979906734307E-06,2146689,67084.03125,6.891611814498901
32,16,2,2,"CG + GMG V-cycle",2.1117285352622773E-06,2146689,67084.03125,19.968562126159668
32,16,2,2,"CG + full GMG",2.11140114834196E-06,2146689,67084.03125,4.703191518783569
32,16,2,2,"Matfree CG + telescoped full GMG",2.111401148402805E-06,2146689,67084.03125,4.506314516067505
64,20,2,2,"CG + AMG",1.078886905113058E-06,4173281,65207.515625,8.149189710617065
64,20,2,2,"CG + GMG V-cycle",1.0783622527132606E-06,4173281,65207.515625,97.05143308639526
64,20,2,2,"CG + full GMG",1.0782028854240625E-06,4173281,65207.515625,5.944950580596924
64,20,2,2,"Matfree CG + telescoped full GMG",1.078202885222159E-06,4173281,65207.515625,5.553156852722168
128,25,2,2,"CG + AMG",5.51939711149533E-07,8120601,63442.1953125,10.932574987411499
128,25,2,2,"CG + full GMG",5.513647727016104E-07,8120601,63442.1953125,11.313674926757813
128,25,2,2,"Matfree CG + telescoped full GMG",5.513647726640237E-07,8120601,63442.1953125,8.250328302383423
